year,quarter,store,net_sales_total,number_orders_total,delivery_sales,delivery_orders,dine_in_sales,dine_in_orders,to_go_sales,to_go_orders,pick_up_sales,pick_up_orders,discounts,percent_discount,ticket_average,web_app_net_sales_online,web_app_number_orders_online,web_app_ticket_avg_online,online_percent_online,number_on_time_deliveries,number_late_deliveries,x3rd_party_sales_total,x3rd_party_orders_total,dd_sales,dd_orders_door_dash,ue_sales,ue_orders,quarter_label,period
2023,1,Creve Coeur West,242948.6,8395,118891.52,3068,15856.8,830,18160.06,1118,90040.22,3379,27062.54,11.1,28.94,137419.19,4070,33.76,56.6,1666,1203,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Desloge,191154.39,6965,67520.97,1962,7421.33,307,16449.4,1156,99762.69,3540,45502.05,23.8,27.44,75481.01,2260,33.4,39.5,1311,593,0,0,0,0,0,0,Q1,2023 Q1
2023,1,De Soto,196638.86,6216,46301.97,1196,31471.75,1058,14127.65,678,104737.49,3284,14385.39,7.3,31.63,81762.01,2250,36.34,41.6,953,205,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Des Peres,253710.69,7558,149847.55,3936,0,0,8752.8,504,95110.34,3118,25497.94,10.1,33.57,145473.13,3970,36.64,57.3,2721,847,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Downtown - 4th St,385779.22,12681,229231.8,6025,17028.36,735,36845.72,1978,102673.34,3943,31782.72,8.2,30.42,176316.18,4884,36.1,45.7,3110,2502,37.09,2,37.09,2,0,0,Q1,2023 Q1
2023,1,Downtown - Delmar,601694.07,23503,216808.92,6314,63855.79,2821,74486.4,4557,246542.96,9811,68847.92,11.4,25.6,212148.47,7021,30.22,35.3,2660,3266,96.28,3,96.28,3,0,0,Q1,2023 Q1
2023,1,Edwardsville,343716.74,11371,135463.25,3412,56068.15,2348,16112.7,910,136072.64,4701,46538.49,13.5,30.23,160669.87,4556,35.27,46.7,2055,1149,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Elm Street,264409.78,8859,105072.21,2762,10316.43,522,20231.97,1061,128789.17,4514,29961.3,11.3,29.85,140098.05,4065,34.46,53,1718,952,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Eureka,207410.7,6422,107984.61,2845,14091.31,619,10935.41,577,74399.37,2381,21995.89,10.6,32.3,118151.76,3239,36.48,57,1950,744,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Fairview Heights,302523.35,11321,110544.33,3084,16477.47,735,35873.68,1997,139627.87,5505,37972.95,12.6,26.72,131821.42,4074,32.36,43.6,2536,465,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Farmington,227233.28,8257,86460.21,2465,4909.94,216,20264.02,1138,115599.11,4438,40929.45,18,27.52,106624.4,3311,32.2,46.9,2079,258,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Fenton - Fiedler,319550.28,10014,184387.73,4978,0,0,10156.29,671,125006.26,4365,24838.09,7.8,31.91,185930.21,5301,35.07,58.2,3732,1010,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Ferguson,388173.68,13668,215192.25,6489,0,0,31344.73,1629,141636.7,5550,47928.32,12.3,28.4,142675.5,4697,30.38,36.8,3715,2701,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Festus,441863.68,16098,189016.59,5442,55827.88,2909,31517.84,1859,165501.37,5888,48069.48,10.9,27.45,207638.11,6211,33.43,47,3773,1488,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Florissant - Washington,341640.54,11871,177240.94,5055,0,0,23654.19,1502,140745.41,5314,35971.34,10.5,28.78,145675.47,4571,31.87,42.6,3275,1681,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Forest Park,437432.64,16197,196693.97,5097,15978.28,744,61099.5,4055,163660.89,6301,44474.86,10.2,27.01,192650.09,5838,33,44,3890,925,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Gas Mart - Imperial,103186.45,6428,0,0,0,0,60798.23,4937,42388.22,1491,3838.32,3.7,16.05,21913.57,703,31.17,21.2,0,0,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Godfrey,372566.7,12707,183447.88,5286,46092.12,2003,21162.42,1142,121864.28,4276,39516.21,10.6,29.32,178343.27,5314,33.56,47.9,3595,1477,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Granite City,597981.33,21708,317771.01,9345,54530.72,2712,25730.18,1634,199949.42,8017,71859.17,12,27.55,303889.65,9566,31.77,50.8,7867,1057,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Hazelwood,433259.67,16072,249304.66,8018,0,0,38541.02,2130,145413.99,5924,43674.93,10.1,26.96,225440.09,7624,29.57,52,5541,2204,0,0,0,0,0,0,Q1,2023 Q1
